id;metin;etiket;kategori
8151;Sipariş hesabınızın silinmemesi için giriş yapmanız gerekmektedir.;spam;yemek
8152;Yemek platformu kullanıcı bilgilerinizi yeniden istemektedir.;spam;yemek
8153;Ücretsiz içecek kampanyası hesabınıza tanımlanmıştır.;spam;yemek
8154;Yemek hesabınız olağan dışı işlem nedeniyle incelenmektedir.;spam;yemek
8155;Kullanıcı profiliniz restoran sistemi tarafından doğrulanamamıştır.;spam;yemek
8156;Ücretsiz premium üyelik avantajınız aktif edilmeyi beklemektedir.;spam;yemek
8157;Sipariş bilgileriniz eksik olduğu için işlem beklemeye alınmıştır.;spam;yemek
8158;Restoran kampanya kuponunuz bugün sona ermektedir.;spam;yemek
8159;Yemek ödeme hesabınız güvenlik nedeniyle durdurulmuştur.;spam;yemek
8160;Ücretsiz tatlı ödülünüz hesabınıza yüklenmiştir.;spam;yemek
8161;Kullanıcı hesabınız yeniden doğrulanmayı beklemektedir.;spam;yemek
8162;Yemek uygulaması erişiminiz geçici olarak sınırlandırılmıştır.;spam;yemek
8163;Ücretsiz alışveriş bakiyesi hesabınıza tanımlanmıştır.;spam;yemek
8164;Teslimat hesabınız güvenlik kontrolüne alınmıştır.;spam;yemek
8165;Restoran üyeliğiniz askıya alınmıştır.;spam;yemek
8166;Özel müşteri avantajınız hesabınıza aktarılmayı beklemektedir.;spam;yemek
8167;Kullanıcı bilgileriniz güncellenmediği için yemek erişiminiz durdurulacaktır.;spam;yemek
8168;Ücretsiz sipariş kampanyası hesabınıza yüklenmiştir.;spam;yemek
8169;Restoran ödeme sisteminiz doğrulanamamıştır.;spam;yemek
8170;Sipariş hesabınız riskli erişim nedeniyle incelenmektedir.;spam;yemek
8171;Yemek platformu hesabınız güvenlik nedeniyle kısıtlanmıştır.;spam;yemek
8172;Kurye teslimat hesabınız yeniden aktif edilmeyi beklemektedir.;spam;yemek
8173;Ücretsiz yemek üyeliğinizin süresi dolmak üzeredir.;spam;yemek
8174;Restoran hesabınızın kapatılmaması için işlem yapılmalıdır.;spam;yemek
8175;Sipariş erişim bilgileriniz eksik görünmektedir.;spam;yemek
8176;Yemek hesabınıza ait ödeme işlemi başarısız olmuştur.;spam;yemek
8177;Resmi kullanıcı hesabınız doğrulanamadığı için erişiminiz sınırlandırılmıştır.;spam;devlet
8178;Vergi borcu işlemlerinizin devam edebilmesi için giriş yapmanız gerekmektedir.;spam;devlet
8179;Devlet ödeme sisteminiz güvenlik incelemesine alınmıştır.;spam;devlet
8180;Kimlik bilgileriniz eksik olduğu için hesabınız askıya alınacaktır.;spam;devlet
8181;E-devlet hesabınız farklı cihazdan giriş nedeniyle incelenmektedir.;spam;devlet
8182;Resmi ödeme bildiriminiz hesabınıza tanımlanmıştır.;spam;devlet
8183;Kullanıcı bilgileriniz yeniden doğrulanmayı beklemektedir.;spam;devlet
8184;Devlet destek ödemenizin hesabınıza aktarılması için işlem yapılmalıdır.;spam;devlet
8185;Resmi erişim hesabınız riskli kullanıcı grubuna dahil edilmiştir.;spam;devlet
8186;Vergi ödeme sisteminiz doğrulama beklemektedir.;spam;devlet
8187;Kimlik doğrulama bağlantınız yeniden oluşturulmuştur.;spam;devlet
8188;Devlet hesabınız olağan dışı işlem nedeniyle kısıtlanmıştır.;spam;devlet
8189;Resmi kullanıcı profiliniz doğrulanamamıştır.;spam;devlet
8190;Destek ödemesi hesabınıza yüklenmeyi beklemektedir.;spam;devlet
8191;Kullanıcı hesabınızın silinmemesi için işlem yapılması gerekmektedir.;spam;devlet
8192;E-devlet üyeliğiniz güvenlik nedeniyle askıya alınmıştır.;spam;devlet
8193;Vergi bilgilerinizi güncellemeniz gerekmektedir.;spam;devlet
8194;Devlet sistemi kullanıcı bilgilerinizi yeniden istemektedir.;spam;devlet
8195;Kimlik doğrulaması yapılmadığı için resmi erişiminiz durdurulmuştur.;spam;devlet
8196;Resmi ödeme hesabınız geçici olarak sınırlandırılmıştır.;spam;devlet
8197;Devlet destek kampanyasına dahil edildiğiniz bildirilmektedir.;spam;devlet
8198;Vergi borcunuzun yasal işleme düşmemesi için giriş yapmanız gerekmektedir.;spam;devlet
8199;Kimlik hesabınız güvenlik kontrolüne alınmıştır.;spam;devlet
8200;Resmi sistem erişiminizin devam etmesi için işlem yapılmalıdır.;spam;devlet
8201;Devlet hesabınıza ait ödeme işlemi başarısız olmuştur.;spam;devlet
8202;Destek başvurunuz ön onay almıştır.;spam;devlet
8203;Kullanıcı bilgileriniz eksik olduğu için resmi hizmetleriniz kısıtlanmıştır.;spam;devlet
8204;E-devlet hesabınız yeniden aktif edilmeyi beklemektedir.;spam;devlet
8205;Vergi ödeme ödülünüz hesabınıza tanımlanmıştır.;spam;devlet
8206;Resmi kullanıcı erişiminiz güvenlik politikaları kapsamında incelenmektedir.;spam;devlet
8207;Kimlik bilgileriniz doğrulanamadığı için işlem durdurulmuştur.;spam;devlet
8208;Devlet ödeme sisteminiz yeniden doğrulanmalıdır.;spam;devlet
8209;Resmi kullanıcı hesabınız geçici olarak askıya alınmıştır.;spam;devlet
8210;Destek ödemesi erişiminiz bugün sona ermektedir.;spam;devlet
8211;Vergi erişim bilgileriniz eksik görünmektedir.;spam;devlet
8212;Kullanıcı hesabınız riskli erişim nedeniyle sınırlandırılmıştır.;spam;devlet
8213;Devlet sisteminde kullanıcı doğrulaması başarısız olmuştur.;spam;devlet
8214;Resmi ödeme bağlantınız yeniden oluşturulmuştur.;spam;devlet
8215;Kimlik hesabınızın kapatılmaması için işlem yapılmalıdır.;spam;devlet
8216;Devlet hizmet erişiminiz doğrulama beklemektedir.;spam;devlet
8217;Depo hesabınız doğrulanamadığı için erişiminiz sınırlandırılmıştır.;spam;depo
8218;Kargo depolama ücretinizin ödenmesi gerekmektedir.;spam;depo
8219;Teslimat hesabınız güvenlik incelemesine alınmıştır.;spam;depo
8220;Depoda bekleyen paketiniz için işlem yapılması gerekmektedir.;spam;depo
8221;Kullanıcı bilgileriniz eksik olduğu için teslimatınız askıya alınmıştır.;spam;depo
8222;Ücretsiz depolama avantajı hesabınıza tanımlanmıştır.;spam;depo
8223;Depo erişiminizin devam etmesi için giriş yapmanız gerekmektedir.;spam;depo
8224;Kargo hesabınız riskli kullanıcı grubuna dahil edilmiştir.;spam;depo
8225;Teslimat doğrulama bağlantınız yeniden oluşturulmuştur.;spam;depo
8226;Depolama süresi dolmak üzere olan paketiniz bulunmaktadır.;spam;depo
8227;Kullanıcı profiliniz depo sistemi tarafından doğrulanamamıştır.;spam;depo
8228;Depo hesabınız farklı cihazdan giriş nedeniyle incelenmektedir.;spam;depo
8229;Teslimat işlemleriniz doğrulama beklemektedir.;spam;depo
8230;Ücretsiz kargo kampanyası hesabınıza yüklenmiştir.;spam;depo
8231;Depo üyeliğiniz güvenlik nedeniyle geçici olarak askıya alınmıştır.;spam;depo
8232;Paket teslimat bilgileriniz eksik görünmektedir.;spam;depo
8233;Depo ödeme sisteminiz doğrulanamamıştır.;spam;depo
8234;Teslimat erişim bilgileriniz yeniden talep edilmektedir.;spam;depo
8235;Kargo hesabınızın silinmemesi için işlem yapılmalıdır.;spam;depo
8236;Depo kullanıcı hesabınız olağan dışı işlem nedeniyle incelenmektedir.;spam;depo
8237;Ücretsiz teslimat kuponunuz bugün sona ermektedir.;spam;depo
8238;Kargo erişiminizin devam etmesi için güvenlik doğrulaması gereklidir.;spam;depo
8239;Depo hesabınıza ait ödeme işlemi başarısız olmuştur.;spam;depo
8240;Teslimat hesabınız yeniden aktif edilmeyi beklemektedir.;spam;depo
8241;Kullanıcı bilgileriniz güncellenmediği için teslimatınız durdurulacaktır.;spam;depo
8242;Depolama kampanyası ödülünüz hesabınıza aktarılmayı beklemektedir.;spam;depo
8243;Depo sisteminde kullanıcı doğrulaması başarısız olmuştur.;spam;depo
8244;Teslimat güvenlik hesabınız geçici olarak sınırlandırılmıştır.;spam;depo
8245;Ücretsiz kargo erişim avantajı hesabınıza tanımlanmıştır.;spam;depo
8246;Depo üyeliğiniz riskli erişim nedeniyle kısıtlanmıştır.;spam;depo
8247;Paket doğrulama işleminiz tamamlanamamıştır.;spam;depo
8248;Kargo hesabınız güvenlik kontrolüne alınmıştır.;spam;depo
8249;Depo hizmet erişiminizin devam etmesi için işlem yapılmalıdır.;spam;depo
8250;Teslimat kullanıcı profiliniz yeniden doğrulanmayı beklemektedir.;spam;depo
8251;Ücretsiz teslimat fırsatınız bugün sona ermektedir.;spam;depo
8252;Depo hesabınızın kapatılmaması için giriş yapmanız gerekmektedir.;spam;depo
8253;Kullanıcı erişiminiz eksik doğrulama nedeniyle durdurulmuştur.;spam;depo
8254;Depolama ödeme bilgileriniz yeniden talep edilmektedir.;spam;depo
8255;Teslimat sisteminiz güvenlik nedeniyle askıya alınmıştır.;spam;depo
8256;Depo erişim bağlantınız yeniden oluşturulmuştur.;spam;depo
8257;Sertifikanızın aktif edilmesi için hesabınızı doğrulamanız gerekmektedir.;spam;sertifika
8258;Ücretsiz eğitim sertifikası hesabınıza tanımlanmıştır.;spam;sertifika
8259;Sertifika hesabınız güvenlik incelemesine alınmıştır.;spam;sertifika
8260;Kullanıcı bilgileriniz eksik olduğu için sertifika erişiminiz sınırlandırılmıştır.;spam;sertifika
8261;Ücretsiz meslek belgesi kampanyasına dahil edildiğiniz bildirilmektedir.;spam;sertifika
8262;Sertifika üyeliğiniz riskli kullanıcı grubuna dahil edilmiştir.;spam;sertifika
8263;Eğitim hesabınızın devam edebilmesi için giriş yapmanız gerekmektedir.;spam;sertifika
8264;Kullanıcı profiliniz sertifika sistemi tarafından doğrulanamamıştır.;spam;sertifika
8265;Özel başarı belgeniz hesabınıza aktarılmayı beklemektedir.;spam;sertifika
8266;Sertifika hesabınız farklı cihazdan giriş nedeniyle askıya alınmıştır.;spam;sertifika
8267;Ücretsiz kurs erişim avantajınız aktif edilmeyi beklemektedir.;spam;sertifika
8268;Sertifika ödeme sisteminiz doğrulama beklemektedir.;spam;sertifika
8269;Kullanıcı bilgileriniz yeniden talep edilmektedir.;spam;sertifika
8270;Sertifika erişiminizin devam etmesi için işlem yapılmalıdır.;spam;sertifika
8271;Eğitim platformu hesabınız güvenlik nedeniyle incelenmektedir.;spam;sertifika
8272;Başarı belgesi ödülünüz hesabınıza yüklenmiştir.;spam;sertifika
8273;Sertifika üyeliğiniz geçici olarak sınırlandırılmıştır.;spam;sertifika
8274;Kurs erişim bilgileriniz eksik görünmektedir.;spam;sertifika
8275;Sertifika hesabınıza ait ödeme işlemi başarısız olmuştur.;spam;sertifika
8276;Ücretsiz diploma kampanyası hesabınıza tanımlanmıştır.;spam;sertifika
8277;Sertifika sisteminde kullanıcı doğrulaması başarısız olmuştur.;spam;sertifika
8278;Eğitim erişiminiz güvenlik nedeniyle durdurulmuştur.;spam;sertifika
8279;Başarı sertifikası hesabınız askıya alınmıştır.;spam;sertifika
8280;Sertifika hesabınızın silinmemesi için işlem yapılması gerekmektedir.;spam;sertifika
8281;Ücretsiz kurs ödülünüz bugün sona ermektedir.;spam;sertifika
8282;Kullanıcı bilgileriniz güncellenmediği için sertifika erişiminiz kısıtlanacaktır.;spam;sertifika
8283;Sertifika platformu kullanıcı bilgilerinizi yeniden istemektedir.;spam;sertifika
8284;Başarı belgesi erişiminiz doğrulama beklemektedir.;spam;sertifika
8285;Ücretsiz eğitim kuponunuz hesabınıza yüklenmiştir.;spam;sertifika
8286;Sertifika hesabınız olağan dışı işlem nedeniyle incelenmektedir.;spam;sertifika
8287;Kurs ödeme bilgileriniz doğrulanamamıştır.;spam;sertifika
8288;Kullanıcı profiliniz yeniden aktif edilmeyi beklemektedir.;spam;sertifika
8289;Sertifika erişim hesabınız güvenlik kontrolüne alınmıştır.;spam;sertifika
8290;Başarı belgenizin teslim edilmesi için işlem yapılmalıdır.;spam;sertifika
8291;Ücretsiz eğitim avantajınız hesabınıza tanımlanmıştır.;spam;sertifika
8292;Sertifika üyeliğiniz yeniden doğrulanmayı beklemektedir.;spam;sertifika
8293;Eğitim sertifika hesabınız geçici olarak askıya alınmıştır.;spam;sertifika
8294;Bahçe bakım randevunuz başarıyla oluşturulmuştur.;normal;bahçe
8295;Bitki sulama programınız sistem üzerinde güncellenmiştir.;normal;bahçe
8296;Yeni sezon fide siparişleriniz hazırlık aşamasına alınmıştır.;normal;bahçe
8297;Bahçe ekipman bakım işlemleri başarıyla tamamlanmıştır.;normal;bahçe
8298;Peyzaj düzenleme planı tarafınıza gönderilmiştir.;normal;bahçe
8299;Bahçe üyelik bilgileriniz kullanıcı paneline kaydedilmiştir.;normal;bahçe
8300;Sulama sistemi bakım çalışmaları yarın gerçekleştirilecektir.;normal;bahçe
8301;Yeni bitki katalogları erişime açılmıştır.;normal;bahçe
8302;Bahçe danışmanlığı görüşmeniz planlanmıştır.;normal;bahçe
8303;Sera sıcaklık kontrol sistemi güncellenmiştir.;normal;bahçe
8304;Bitki gübreleme takvimi hesabınıza tanımlanmıştır.;normal;bahçe
8305;Bahçe uygulamasında planlı bakım çalışması yapılacaktır.;normal;bahçe
8306;Sipariş verdiğiniz tohumlar kargo sürecine alınmıştır.;normal;bahçe
8307;Bahçe aydınlatma sistemi başarıyla yenilenmiştir.;normal;bahçe
8308;Peyzaj proje dosyanız dijital arşive eklenmiştir.;normal;bahçe
8309;Bahçe etkinliği için kayıt süreci başlamıştır.;normal;bahçe
8310;Bitki bakım önerileri kullanıcı hesabınıza yüklenmiştir.;normal;bahçe
8311;Bahçe ekipman teslimatınız başarıyla tamamlanmıştır.;normal;bahçe
8312;Sulama zamanlayıcı ayarlarınız yeniden düzenlenmiştir.;normal;bahçe
8313;Yeni sera kampanyaları kullanıcılarla paylaşılmıştır.;normal;bahçe
8314;Bahçe güvenlik sistemi aktif hale getirilmiştir.;normal;bahçe
8315;Bitki sağlık raporunuz sisteme kaydedilmiştir.;normal;bahçe
8316;Bahçe üyelik süreniz başarıyla uzatılmıştır.;normal;bahçe
8317;Saksı ürünleri yeniden stoklara eklenmiştir.;normal;bahçe
8318;Bahçe tasarım talebiniz değerlendirme aşamasına alınmıştır.;normal;bahçe
8319;Kargo takip bilgileriniz hesabınıza işlenmiştir.;normal;bahçe
8320;Bahçe bakım personeli ziyaret saati planlanmıştır.;normal;bahçe
8321;Organik gübre siparişiniz hazırlanmıştır.;normal;bahçe
8322;Bitki teslimat adresiniz doğrulanmıştır.;normal;bahçe
8323;Bahçe uygulaması yeni sürüme geçirilmiştir.;normal;bahçe
8324;Sulama sistemi teknik arızası giderilmiştir.;normal;bahçe
8325;Bahçe etkinlik takvimi yayımlanmıştır.;normal;bahçe
8326;Peyzaj bakım ekibi görevlendirilmiştir.;normal;bahçe
8327;Bitki gelişim raporu tarafınıza gönderilmiştir.;normal;bahçe
8328;Bahçe kullanım kuralları güncellenmiştir.;normal;bahçe
8329;Sera bakım sözleşmeniz başarıyla yenilenmiştir.;normal;bahçe
8330;Bahçe destek talebiniz kayıt altına alınmıştır.;normal;bahçe
8331;Bitki bakım semineri çevrim içi gerçekleştirilecektir.;normal;bahçe
8332;Bahçe depo alanı bakım sürecine alınmıştır.;normal;bahçe
8333;El sanatları atölyesi kayıt işleminiz başarıyla tamamlanmıştır.;normal;el sanatları
8334;Sipariş verdiğiniz örgü seti hazırlık aşamasına alınmıştır.;normal;el sanatları
8335;Yeni hobi ürünleri mağaza sistemine eklenmiştir.;normal;el sanatları
8336;Atölye etkinlik takvimi kullanıcılarla paylaşılmıştır.;normal;el sanatları
8337;El işi kursunuz için giriş bilgileri tarafınıza gönderilmiştir.;normal;el sanatları
8338;Kumaş siparişiniz kargo firmasına teslim edilmiştir.;normal;el sanatları
8339;Hobi üyeliğiniz başarıyla yenilenmiştir.;normal;el sanatları
8340;El sanatları eğitimi çevrim içi olarak gerçekleştirilecektir.;normal;el sanatları
8341;Yeni sezon dikiş ürünleri satışa sunulmuştur.;normal;el sanatları
8342;Atölye çalışma saatlerinde düzenleme yapılmıştır.;normal;el sanatları
8343;Sipariş takip bilgileriniz kullanıcı hesabınıza tanımlanmıştır.;normal;el sanatları
8344;Hobi platformu bakım çalışması planlanmıştır.;normal;el sanatları
8345;Boyama setiniz teslimata hazırlanmıştır.;normal;el sanatları
8346;El işi malzeme stok bilgileri güncellenmiştir.;normal;el sanatları
8347;Atölye rezervasyon talebiniz onaylanmıştır.;normal;el sanatları
8348;El sanatları yarışması başvurunuz alınmıştır.;normal;el sanatları
8349;Yeni örgü eğitim videoları erişime açılmıştır.;normal;el sanatları
8350;Atölye ekipman bakım süreci tamamlanmıştır.;normal;el sanatları
8351;Kargo teslimatınız başarıyla gerçekleştirilmiştir.;normal;el sanatları
8352;Hobi puanlarınız hesabınıza işlenmiştir.;normal;el sanatları
8353;El işi etkinliği için ek kontenjan açılmıştır.;normal;el sanatları
8354;Dikiş makinesi bakım hizmetiniz planlanmıştır.;normal;el sanatları
8355;Sipariş değerlendirme yorumunuz sisteme kaydedilmiştir.;normal;el sanatları
8356;Yeni tasarım ürün kataloğu yayımlanmıştır.;normal;el sanatları
8357;Atölye giriş kartınız aktif hale getirilmiştir.;normal;el sanatları
8358;El işi eğitim sertifikanız oluşturulmuştur.;normal;el sanatları
8359;Hobi uygulaması yeni sürüme geçirilmiştir.;normal;el sanatları
8360;Kumaş teslimat planınız güncellenmiştir.;normal;el sanatları
8361;El sanatları semineri kayıtları başlamıştır.;normal;el sanatları
8362;Sipariş değişim talebiniz onaylanmıştır.;normal;el sanatları
8363;Yeni boya koleksiyonu kullanıcı erişimine açılmıştır.;normal;el sanatları
8364;Atölye rezervasyon bilgileriniz güncellenmiştir.;normal;el sanatları
8365;Örgü kursu eğitmeni tarafından bilgilendirme yapılacaktır.;normal;el sanatları
8366;Hobi üyelik avantajlarınız hesabınıza tanımlanmıştır.;normal;el sanatları
8367;El sanatları ürün kampanyası yayımlanmıştır.;normal;el sanatları
8368;Atölye güvenlik sistemi bakım sürecine alınmıştır.;normal;el sanatları
8369;Bisiklet bakım randevunuz başarıyla oluşturulmuştur.;normal;bisiklet
8370;Yeni bisiklet ekipmanları mağaza sistemine eklenmiştir.;normal;bisiklet
8371;Kullanıcı üyeliğiniz başarıyla yenilenmiştir.;normal;bisiklet
8372;Bisiklet turu etkinliği için kayıt işlemleri başlamıştır.;normal;bisiklet
8373;Sipariş verdiğiniz ekipman kargo sürecine alınmıştır.;normal;bisiklet
8374;Bisiklet uygulamasında planlı güncelleme yapılacaktır.;normal;bisiklet
8375;Servis bakım işlemleriniz tamamlanmıştır.;normal;bisiklet
8376;Kask siparişiniz teslimata hazırlanmıştır.;normal;bisiklet
8377;Bisiklet yarışması katılım bilgileriniz paylaşılmıştır.;normal;bisiklet
8378;Yeni rota haritaları kullanıcı paneline yüklenmiştir.;normal;bisiklet
8379;Bisiklet kiralama talebiniz onaylanmıştır.;normal;bisiklet
8380;Pedal ekipmanı stok bilgileri güncellenmiştir.;normal;bisiklet
8381;Bisiklet güvenlik kontrolü başarıyla tamamlanmıştır.;normal;bisiklet
8382;Etkinlik başlangıç saati yeniden düzenlenmiştir.;normal;bisiklet
8383;Bisiklet aksesuar kampanyaları yayımlanmıştır.;normal;bisiklet
8384;Kargo teslimat bilgileriniz sisteme işlenmiştir.;normal;bisiklet
8385;Bisiklet bakım ekibi görevlendirilmiştir.;normal;bisiklet
8386;Yeni sezon forma ürünleri satışa açılmıştır.;normal;bisiklet
8387;Bisiklet turu güzergah planı paylaşılmıştır.;normal;bisiklet
8388;Servis ödeme işleminiz başarıyla alınmıştır.;normal;bisiklet
8389;Bisiklet üyelik avantajlarınız hesabınıza tanımlanmıştır.;normal;bisiklet
8390;Lastik değişim işleminiz tamamlanmıştır.;normal;bisiklet
8391;Bisiklet etkinliği için ek kontenjan açılmıştır.;normal;bisiklet
8392;Kullanıcı destek talebiniz kayıt altına alınmıştır.;normal;bisiklet
8393;Bisiklet yarış kayıt sisteminde güncelleme yapılmıştır.;normal;bisiklet
8394;Yeni ekipman kataloğu erişime açılmıştır.;normal;bisiklet
8395;Bisiklet teslimat adresiniz doğrulanmıştır.;normal;bisiklet
8396;Bakım raporunuz kullanıcı hesabınıza gönderilmiştir.;normal;bisiklet
8397;Bisiklet uygulaması yeni sürüme geçirilmiştir.;normal;bisiklet
8398;Etkinlik giriş bileti hesabınıza tanımlanmıştır.;normal;bisiklet
8399;Bisiklet eğitim semineri çevrim içi gerçekleştirilecektir.;normal;bisiklet
8400;Servis bakım süreniz başarıyla uzatılmıştır.;normal;bisiklet
8401;Yeni aksesuar siparişiniz hazırlanmıştır.;normal;bisiklet
8402;Bisiklet rota paylaşım sistemi güncellenmiştir.;normal;bisiklet
8403;Yarış organizasyonu tarafından bilgilendirme yapılmıştır.;normal;bisiklet
8404;Bisiklet güvenlik ekipmanları teslim edilmiştir.;normal;bisiklet
8405;Bisiklet etkinlik takvimi yayımlanmıştır.;normal;bisiklet
8406;Üyelik bilgileriniz başarıyla doğrulanmıştır.;normal;bisiklet
8407;Kamp rezervasyonunuz başarıyla oluşturulmuştur.;normal;kampçılık
8408;Çadır ekipman siparişiniz hazırlık aşamasına alınmıştır.;normal;kampçılık
8409;Kamp alanı giriş bilgileriniz tarafınıza gönderilmiştir.;normal;kampçılık
8410;Yeni sezon kamp ürünleri satışa sunulmuştur.;normal;kampçılık
8411;Doğa yürüyüşü etkinliği kayıtları başlamıştır.;normal;kampçılık
8412;Kamp üyelik bilgileriniz güncellenmiştir.;normal;kampçılık
8413;Uyku tulumu siparişiniz kargo firmasına teslim edilmiştir.;normal;kampçılık
8414;Kamp alanında bakım çalışmaları gerçekleştirilecektir.;normal;kampçılık
8415;Etkinlik başlangıç saati sistem üzerinde güncellenmiştir.;normal;kampçılık
8416;Kamp güvenlik kuralları kullanıcılarla paylaşılmıştır.;normal;kampçılık
8417;Yeni kamp rotaları uygulamaya eklenmiştir.;normal;kampçılık
8418;Kamp ekipman bakım işlemleri başarıyla tamamlanmıştır.;normal;kampçılık
8419;Rezervasyon değişiklik talebiniz onaylanmıştır.;normal;kampçılık
8420;Kullanıcı profil bilgileriniz sisteme kaydedilmiştir.;normal;kampçılık
8421;Kamp ateşi etkinliği için katılım listesi oluşturulmuştur.;normal;kampçılık
8422;Kamp alanı hava durumu bilgilendirmesi yayımlanmıştır.;normal;kampçılık
8423;Kargo teslimat bilgileriniz hesabınıza tanımlanmıştır.;normal;kampçılık
8424;Kamp eğitim semineri çevrim içi gerçekleştirilecektir.;normal;kampçılık
8425;Yeni kamp çantası koleksiyonu erişime açılmıştır.;normal;kampçılık
8426;Kamp alanı giriş kartınız aktif edilmiştir.;normal;kampçılık
8427;Etkinlik rezervasyon bilgileriniz güncellenmiştir.;normal;kampçılık
8428;Kamp ekipman kiralama işleminiz tamamlanmıştır.;normal;kampçılık
8429;Kullanıcı destek talebiniz değerlendirme aşamasına alınmıştır.;normal;kampçılık
8430;Kamp üyelik avantajlarınız hesabınıza yüklenmiştir.;normal;kampçılık
8431;Yeni doğa etkinliği duyurusu yayımlanmıştır.;normal;kampçılık
8432;Çadır kurulum eğitimi videosu erişime açılmıştır.;normal;kampçılık
8433;Kamp alanı güvenlik sistemi güncellenmiştir.;normal;kampçılık
8434;Rezervasyon faturanız dijital ortamda oluşturulmuştur.;normal;kampçılık
8435;Yeni kamp ürün kampanyaları kullanıcılarla paylaşılmıştır.;normal;kampçılık
8436;Kamp rota planlaması tamamlanmıştır.;normal;kampçılık
8437;Doğa etkinliği kontenjanı yeniden açılmıştır.;normal;kampçılık
8438;Kamp uygulaması yeni sürüme geçirilmiştir.;normal;kampçılık
8439;Kamp malzeme stok bilgileri güncellenmiştir.;normal;kampçılık
8440;Kamp alanı bakım ekibi görevlendirilmiştir.;normal;kampçılık
8441;Etkinlik bilgilendirme dokümanı tarafınıza gönderilmiştir.;normal;kampçılık
8442;Yeni kullanıcı kamp avantajları tanımlanmıştır.;normal;kampçılık
8443;Kamp giriş doğrulama işleminiz başarıyla tamamlanmıştır.;normal;kampçılık
8444;Doğa yürüyüşü ekipman listeniz kullanıcı hesabınıza yüklenmiştir.;normal;kampçılık
8445;Kamp rezervasyonunuz yeniden onaylanmıştır.;normal;kampçılık
8446;Resim kursu kayıt işleminiz başarıyla tamamlanmıştır.;normal;resim
8447;Yeni boya seti siparişiniz hazırlık aşamasına alınmıştır.;normal;resim
8448;Atölye çalışma saatlerinde güncelleme yapılmıştır.;normal;resim
8449;Çizim etkinliği katılım listeniz oluşturulmuştur.;normal;resim
8450;Yeni sanat malzemeleri mağaza sistemine eklenmiştir.;normal;resim
8451;Tuval siparişiniz kargo sürecine alınmıştır.;normal;resim
8452;Resim atölyesi giriş bilgileriniz tarafınıza gönderilmiştir.;normal;resim
8453;Yeni eğitim videoları erişime açılmıştır.;normal;resim
8454;Atölye ekipman bakım işlemleri tamamlanmıştır.;normal;resim
8455;Kargo takip bilgileriniz kullanıcı hesabınıza tanımlanmıştır.;normal;resim
8456;Yeni sanat etkinliği duyurusu yayımlanmıştır.;normal;resim
8457;Resim yarışması başvurunuz değerlendirmeye alınmıştır.;normal;resim
8458;Sanat sergisi etkinliği için kayıt süreci başlamıştır.;normal;resim
8459;Resim uygulaması yeni sürüme geçirilmiştir.;normal;resim
8460;Yeni fırça koleksiyonu satışa sunulmuştur.;normal;resim
8461;Resim kursu eğitmeni tarafından bilgilendirme yapılacaktır.;normal;resim
8462;Sipariş teslimatınız başarıyla tamamlanmıştır.;normal;resim
8463;Yeni çizim teknikleri eğitim programı yayımlanmıştır.;normal;resim
8464;Sanat üyelik avantajlarınız hesabınıza tanımlanmıştır.;normal;resim
8465;Resim malzeme stok bilgileri güncellenmiştir.;normal;resim
8466;Sanat etkinliği kontenjanı yeniden açılmıştır.;normal;resim
8467;Yeni kullanıcı kampanyaları kullanıcılarla paylaşılmıştır.;normal;resim
8468;Çizim dosyalarınız dijital arşive kaydedilmiştir.;normal;resim
8469;Atölye bakım çalışmaları planlanan tarihte yapılacaktır.;normal;resim
8470;Yeni sanat kataloğu erişime açılmıştır.;normal;resim
8471;Boya teslimat bilgileriniz hesabınıza işlenmiştir.;normal;resim
8472;Resim semineri çevrim içi gerçekleştirilecektir.;normal;resim
8473;Atölye rezervasyon değişiklik talebiniz onaylanmıştır.;normal;resim
8474;Sanat uygulamasında teknik güncelleme yapılacaktır.;normal;resim
8475;Yeni eğitim sertifikanız kullanıcı paneline yüklenmiştir.;normal;resim
8476;Çizim yarışması sonuçları yayımlanmıştır.;normal;resim
8477;Sipariş değişim işleminiz başarıyla tamamlanmıştır.;normal;resim
8478;Sanat etkinliği programı tarafınıza gönderilmiştir.;normal;resim
8479;Kozmetik siparişiniz hazırlık sürecine alınmıştır.;normal;kozmetik
8480;Yeni cilt bakım ürünleri mağaza sistemine eklenmiştir.;normal;kozmetik
8481;Sipariş takip bilgileriniz hesabınıza tanımlanmıştır.;normal;kozmetik
8482;Yeni sezon ürün kampanyaları yayımlanmıştır.;normal;kozmetik
8483;Kargo teslimatınız başarıyla tamamlanmıştır.;normal;kozmetik
8484;Kozmetik uygulaması yeni sürüme geçirilmiştir.;normal;kozmetik
8485;Yeni kullanıcı indirim kuponunuz hesabınıza yüklenmiştir.;normal;kozmetik
8486;Ürün değerlendirme yorumunuz sisteme kaydedilmiştir.;normal;kozmetik
8487;Cilt bakım semineri kayıtları başlamıştır.;normal;kozmetik
8488;Yeni makyaj koleksiyonu satışa sunulmuştur.;normal;kozmetik
8489;Teslimat planlaması yeniden düzenlenmiştir.;normal;kozmetik
8490;Kozmetik üyelik avantajlarınız hesabınıza tanımlanmıştır.;normal;kozmetik
8491;Ürün stok bilgileri sistem üzerinde güncellenmiştir.;normal;kozmetik
8492;Yeni kampanya duyurusu kullanıcılarla paylaşılmıştır.;normal;kozmetik
